sheng,standard_swahili,standard_english,category
form ni gani,hali ni gani,how is the situation,phrase
sema ukweli,sema ukweli,tell the truth,phrase
wananiacha,wanaacha,they leave us,phrase
kama kuku,kama kuku,like chickens,phrase
nipe,nipe,give me,verb
hii,hii,this,pronoun
wapi,wapi,where,question
sana,sana,very/much,intensifier
ni,ni,is/are,verb
nataka,nataka,I want,verb
sijui,sijui,I don't know,phrase
form,hali,situation/status,noun
manze,manze,wow/seriously,exclamation
buda,mzee/bwana,man/dude,noun
mbona,kwa nini,why,question
nime,nime,I have,auxiliary
ume,ume,you have,auxiliary
tuko,tuko,we are,auxiliary
wame,wame,they have,auxiliary
kupata,kupata,to get,verb
polepole,polepole,slowly,adverb
haraka,haraka,quickly,adverb
hapa,hapa,here,location
pale,pale,there,location
wale,wao,those people,pronoun
mimi,mimi,I/me,pronoun
wewe,wewe,you,pronoun
sisi,sisi,we/us,pronoun
kweli,kweli,truth/really,adverb
niambie,niambie,tell me,verb
maneno,maneno,words/trouble,noun
cheki,cheki,check,verb
story,maneno,story/lies,noun
kuwa juu,kuwa mkuu,to be important,phrase
dirt,uchafu,dirt/corruption,noun
kitu,kitu,something,pronoun
pesa,pesa,money/funds,noun
