sheng,standard_swahili,standard_english,category
sana,sana,very/intensifier,intensifier
ni,ni,is/are,verb
sijui,sijui,I don't know,phrase
form,form,situation/status,noun
manze,manze,wow/seriously,exclamation
buda,mzee/bwana,man/dude,noun
pesa,pesa,money/funds,noun
mbona,kwa nini,why,question
sasa,sasa,now/what,time
hii,hii,this,pronoun
wapi,wapi,where,question
je,je,question marker,particle
nipe,nipe,give me,verb
sema,say,tell,verb
kweli,kweli,truth/really,adverb
niambie,niambie,tell me,verb
polepole,polepole,slowly,adverb
haraka,haraka,quickly,adverb
hapa,hapa,here,location
pale,pale,there,location
wale,wale,those people,pronoun
mimi,mimi,I/me,pronoun
wewe,wewe,you,pronoun
sisi,sisi,we/us,pronoun
wangu,wangu,my/mine,pronoun
yangu,yangu,my/mine,pronoun
hao,hao,they (those people),pronoun
ndio,ndio,yes,affirmative
hapana,hapana,no,negative
sana sana,sana sana,a lot/intensifier,intensifier
kesho,kesho,tomorrow,time
jana,jana,yesterday,time
leo,leo,today,time
ghali,ghali,expensive,adjective
rahisi,rahisi,cheap/easy,adjective
ngumu,ngumu,difficult/hard,adjective
nzuri,nzuri,good/beautiful,adjective
mbaya,mbaya,bad/terrible,adjective
kubwa,kubwa,big/large,adjective
ndogo,ndogo,small/little,adjective
mtu,mtu,person,noun
watu,watu,people,noun
nyumba,nyumba,house,noun
barabara,barabara,road,noun
shule,shule,school,noun
hospitali,hospitali,hospital,noun
serikali,serikali,government,noun
kiongozi,kiongozi,leader,noun
mtoto,mtoto,child,noun
mwanamke,mwanamke,woman,noun
mwanamme,mwanamme,man,noun
rafiki,rafiki,friend,noun
kazi,kazi,work/job,noun
biashara,biashara,business,noun
serikali kaunti,serikali ya kaunti,county government,noun
gavana,gavana,governor,noun
mbunge,mbunge,MP,noun
seneta,seneta,senator,noun
madi wadi,madi wadi,MCA,noun
uchaguzi,uchaguzi,election,noun
kura,kura,vote,noun
matumizi,matumizi,spending/usage,noun
bajeti,bajeti,budget,noun
tenda,tenda,tender,noun
mkataba,mkataba,contract,noun
fedha,fedha,money/budget,noun
shilingi,shilingi,shilling,noun
milioni,milioni,million,quantity
bilioni,bilioni,billion,quantity
